X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,y
6,8,3,-3,5,7,8,-7,-2,1,-4,3,6,-3,-4,0,1
6,9,3,-6,5,7,7,-7,-3,3,-5,2,6,-1,-7,0,1
6,10,3,-9,4,8,5,-6,-4,4,-6,1,4,-2,-7,1,1
6,10,3,-10,3,9,2,-4,-4,4,-6,1,3,-3,-6,1,1
5,10,3,-11,2,9,-2,-2,-3,4,-6,0,3,-4,-6,1,1
4,8,3,-10,2,9,-5,-1,-3,3,-4,0,4,-3,-7,1,1
5,6,2,-9,4,7,-7,-1,-3,3,-2,-1,5,0,-9,1,1
8,3,0,-7,6,5,-8,0,-3,5,-1,-3,5,2,-10,1,1
11,-1,-2,-5,7,3,-8,1,-5,9,-1,-6,3,3,-10,1,1
12,-5,-4,-4,7,-1,-8,2,-6,13,-2,-9,0,4,-9,1,1
11,-9,-5,-2,5,-5,-8,3,-7,16,-5,-10,-4,5,-9,1,1
-4,0,7,2,-2,-4,10,0,-6,5,-1,-1,-3,3,-8,5,1
-3,2,7,-2,-1,-5,9,-1,-6,3,-1,-2,-7,7,-10,4,1
0,2,5,-6,0,-5,7,-1,-5,1,0,-2,-9,9,-10,3,1
10,-13,-6,7,5,-7,-3,3,6,-8,-14,5,-8,0,-5,1,1
11,-12,-5,6,7,-7,-1,2,6,-6,-14,5,-8,0,-3,1,1
12,-11,-3,5,8,-7,0,2,5,-2,-13,4,-8,0,0,1,1
13,-9,-1,3,8,-5,2,1,4,2,-12,3,-7,-1,5,1,1
13,-8,1,2,8,-4,3,1,3,5,-9,3,-6,-2,9,1,1
4,-3,-4,10,4,2,-1,2,4,-4,-5,8,-1,-3,8,-2,1
-1,-5,-10,3,5,-17,-5,3,-4,-11,-19,11,-3,-14,-13,6,1
0,-6,-11,2,4,-14,-8,3,-4,-11,-19,11,-4,-15,-11,6,1
1,-7,-11,2,3,-12,-8,2,-4,-12,-18,11,-6,-18,-6,6,1
-2,6,13,3,2,11,9,-1,1,-1,14,9,4,3,14,4,1
-4,11,14,2,1,13,11,-2,1,2,14,7,3,6,13,2,1
-5,14,15,3,1,14,14,-2,1,5,14,5,2,10,11,1,1
-6,14,16,5,0,14,16,-1,2,6,13,3,1,15,8,-1,1
-5,13,16,7,-1,13,17,1,3,6,11,2,0,17,7,-2,1
-2,11,12,11,3,10,19,1,9,6,7,3,1,10,13,1,1
-3,13,12,11,3,9,20,1,9,8,7,3,2,10,13,0,1
-5,15,11,10,3,8,19,1,9,10,7,1,3,12,13,-1,1
-5,14,10,9,2,8,17,2,7,13,8,-1,4,16,11,-3,1
-6,13,9,8,-1,9,13,3,6,14,8,-3,4,19,8,-4,1
-4,12,7,5,-5,11,9,4,6,14,11,-6,3,18,7,-4,1
-2,11,7,3,-5,10,9,4,6,11,13,-8,3,16,8,-4,1
-1,11,7,1,-4,9,10,3,7,8,14,-9,2,14,8,-4,1
0,11,8,-1,-2,8,10,2,9,6,14,-10,2,13,8,-4,1
2,11,8,-1,2,7,10,2,11,4,14,-11,2,12,8,-5,1
4,10,8,1,5,6,9,2,14,4,13,-11,5,13,7,-5,1
7,9,8,3,9,6,9,3,18,4,12,-10,10,14,4,-5,1
9,9,8,4,13,7,8,3,22,4,11,-8,18,13,2,-4,1
11,10,8,6,17,8,8,3,26,5,9,-5,26,9,3,-4,1
14,13,9,7,23,10,8,2,29,8,8,-2,34,6,6,-3,1
18,16,9,7,28,13,8,1,33,11,8,1,40,6,8,-2,1
24,19,9,7,36,17,8,-1,37,15,8,3,44,10,10,-1,1
32,22,9,8,43,22,8,-3,41,19,9,5,48,16,10,-1,1
39,24,8,9,51,25,9,-5,45,23,10,6,52,24,9,0,1
45,25,8,9,57,26,11,-6,49,27,12,7,56,30,9,0,1
48,26,8,9,61,26,12,-7,52,30,13,7,60,34,9,0,1
50,24,9,9,63,22,13,-7,55,33,14,7,62,38,10,-1,1
50,23,9,8,64,17,14,-6,59,36,13,6,64,41,11,-1,1
49,20,8,8,64,12,14,-5,63,38,12,5,64,44,11,-2,1
49,15,9,8,62,7,14,-3,67,39,10,2,64,47,9,-3,1
48,10,9,7,58,4,14,-2,70,39,8,0,63,51,6,-4,1
45,5,10,7,53,2,14,-2,72,37,6,-3,60,53,3,-4,1
42,2,10,6,49,1,13,-2,73,35,5,-5,56,53,4,-5,1
38,0,10,6,44,0,12,-2,72,32,5,-6,51,52,6,-5,1
33,1,9,5,41,-1,11,-3,71,30,5,-6,46,52,8,-5,1
26,3,8,4,37,-3,10,-3,68,29,7,-6,41,52,10,-4,1
-9,-3,4,5,10,-10,8,-11,25,23,13,9,-1,54,22,-5,1
-11,-2,4,4,8,-9,8,-12,21,23,13,9,-4,52,23,-5,1
-14,-1,5,3,6,-8,9,-13,18,24,13,8,-6,51,24,-6,1
-19,1,7,2,3,-8,9,-13,16,25,12,6,-7,50,22,-6,1
-22,2,8,0,1,-9,9,-13,14,26,11,4,-7,50,18,-6,1
-24,1,9,-2,-3,-9,9,-13,13,27,9,2,-7,50,14,-6,1
-25,-1,10,-3,-7,-10,9,-12,11,27,6,1,-8,48,10,-4,1
-25,-5,10,-3,-10,-10,9,-11,9,27,3,0,-10,45,6,-2,1
-6,-2,0,4,-9,3,1,2,1,-9,-12,9,-4,-8,2,-2,1
-3,-3,0,4,-7,2,1,2,2,-9,-15,9,-4,-11,4,-1,1
-1,-3,0,3,-5,2,0,2,4,-9,-16,8,-4,-14,4,0,1
-1,-2,1,1,-3,1,-1,2,5,-9,-16,7,-3,-16,4,2,1
38,0,3,-1,35,3,2,0,31,8,-2,5,36,1,4,1,1
47,7,3,-1,44,10,2,1,37,13,-3,7,45,1,6,2,1
57,14,3,1,53,17,2,2,43,17,-4,8,55,2,5,3,1
66,20,3,2,63,22,2,3,50,21,-5,9,65,2,4,4,1
74,24,3,2,72,26,3,3,56,23,-6,10,74,1,4,5,1
81,27,5,2,80,28,3,4,62,25,-7,10,82,-2,3,6,1
89,30,6,1,87,30,4,5,68,26,-7,10,90,-4,4,7,1
98,32,7,-1,94,32,5,5,73,27,-7,10,97,-6,5,8,1
105,34,8,-2,101,33,6,5,79,28,-6,9,105,-6,5,7,1
6,5,-4,3,5,9,-10,6,-9,-1,8,10,10,0,0,-2,1
8,2,-5,5,7,6,-10,7,-8,0,9,12,11,3,2,-4,1
10,-1,-4,8,10,3,-9,7,-7,0,9,14,13,5,4,-5,1
13,-3,-4,10,15,1,-6,7,-4,1,10,16,16,5,6,-6,1
16,-3,-4,12,19,-1,-2,6,1,1,10,17,22,2,9,-5,1
21,-2,-4,13,23,-1,1,5,7,3,9,18,28,-2,12,-3,1
26,0,-4,13,27,1,4,4,13,6,8,17,35,-4,14,0,1
38,7,-2,11,37,8,9,1,30,17,5,10,48,-2,12,3,1
44,11,0,9,42,12,10,1,38,23,4,5,53,2,11,4,1
50,14,2,7,47,13,11,1,45,29,4,0,58,7,9,4,1
55,17,2,6,53,13,11,2,50,33,4,-3,63,10,8,4,1
58,17,3,4,58,12,9,3,53,35,5,-3,67,11,7,4,1
61,16,2,3,63,10,6,4,54,34,6,-1,71,12,6,5,1
64,14,1,1,67,8,1,3,54,33,6,2,73,12,5,5,1
